CPU_name,CPU_core_count,CPU_core_clock,CPU_boost_clock,CPU_graphics
AMD Ryzen 7 7800X3D,8,4.2,5,Radeon
AMD Ryzen 5 5600X,6,3.7,4.6,
AMD Ryzen 5 7600X,6,4.7,5.3,Radeon
AMD Ryzen 5 7600,6,3.8,5.1,Radeon
Intel Core i7-13700K,16,3.4,5.4,Intel UHD Graphics 770
Intel Core i9-14900K,24,3.2,6,Intel UHD Graphics 770
AMD Ryzen 7 5800X,8,3.8,4.7,
AMD Ryzen 5 5600,6,3.5,4.4,
Intel Core i5-12400F,6,2.5,4.4,
AMD Ryzen 5 3600,6,3.6,4.2,
AMD Ryzen 5 5500,6,3.6,4.2,
Intel Core i5-13600K,14,3.5,5.1,Intel UHD Graphics 770
AMD Ryzen 7 5700X,8,3.4,4.6,
Intel Core i5-12600K,10,3.7,4.9,Intel UHD Graphics 770
AMD Ryzen 7 7700X,8,4.5,5.4,Radeon
Intel Core i7-12700K,12,3.6,5,Intel UHD Graphics 770
AMD Ryzen 9 7950X3D,16,4.2,5.7,Radeon
Intel Core i7-14700K,20,3.4,5.6,Intel UHD Graphics 770
AMD Ryzen 7 5800X3D,8,3.4,4.5,
AMD Ryzen 5 5600G,6,3.9,4.4,Radeon Vega 7
Intel Core i3-12100F,4,3.3,4.3,
Intel Core i5-12600KF,10,3.7,4.9,
AMD Ryzen 9 7900X,12,4.7,5.6,Radeon
AMD Ryzen 9 5900X,12,3.7,4.8,
Intel Core i5-13400F,10,2.5,4.6,
Intel Core i5-13600KF,14,3.5,5.1,
Intel Core i9-13900K,24,3,5.8,Intel UHD Graphics 770
Intel Core i7-12700KF,12,3.6,5,
Intel Core i9-12900K,16,3.2,5.2,Intel UHD Graphics 770
AMD Ryzen 7 3700X,8,3.6,4.4,
Intel Core i7-14700KF,20,3.4,5.6,
AMD Threadripper 3990X,64,2.9,4.3,
AMD Ryzen 9 7950X,16,4.5,5.7,Radeon
AMD Ryzen 7 5700G,8,3.8,4.6,Radeon Vega 8
Intel Core i7-13700KF,16,3.4,5.4,
AMD Ryzen 5 4500,6,3.6,4.1,
Intel Core i9-14900KF,24,3.2,6,
AMD Ryzen 7 7700,8,3.6,5.3,Radeon
