CPU_name,CPU_price,CPU_core_count,CPU_core_clock,CPU_boost_clock,CPU_graphics
AMD Ryzen 7 7800X3D,357,8,4.2,5,Radeon
AMD Ryzen 5 7600X,209.95,6,4.7,5.3,Radeon
AMD Ryzen 5 5600X,144,6,3.7,4.6,
Intel Core i9-14900K,534.99,24,3.2,6,Intel UHD Graphics 770
AMD Ryzen 5 7600,189.99,6,3.8,5.1,Radeon
AMD Ryzen 5 5600,134.99,6,3.5,4.4,
Intel Core i5-12400F,136,6,2.5,4.4,
Intel Core i7-14700K,389.99,20,3.4,5.6,Intel UHD Graphics 770
AMD Ryzen 7 7700X,289.64,8,4.5,5.4,Radeon
AMD Ryzen 5 5500,88.99,6,3.6,4.2,
AMD Ryzen 9 7950X3D,581.41,16,4.2,5.7,Radeon
AMD Ryzen 7 5800X,200.21,8,3.8,4.7,
AMD Ryzen 5 3600,107.98,6,3.6,4.2,
Intel Core i7-13700K,354.99,16,3.4,5.4,Intel UHD Graphics 770
Intel Core i5-12600K,169.99,10,3.7,4.9,Intel UHD Graphics 770
Intel Core i5-12600KF,149.99,10,3.7,4.9,
AMD Ryzen 7 5700X,163,8,3.4,4.6,
Intel Core i7-12700K,224.99,12,3.6,5,Intel UHD Graphics 770
AMD Ryzen 7 5800X3D,309,8,3.4,4.5,
AMD Ryzen 9 7900X,383.92,12,4.7,5.6,Radeon
AMD Ryzen 5 5600G,119,6,3.9,4.4,Radeon Vega 7
Intel Core i5-13600K,284.99,14,3.5,5.1,Intel UHD Graphics 770
Intel Core i3-12100F,94.98,4,3.3,4.3,
AMD Ryzen 9 5900X,278.99,12,3.7,4.8,
Intel Core i5-13400F,185.99,10,2.5,4.6,
Intel Core i5-14600K,309.99,14,3.5,5.3,Intel UHD Graphics 770
Intel Core i7-14700KF,379,20,3.4,5.6,
AMD Threadripper 3990X,4255,64,2.9,4.3,
Intel Core i7-12700KF,199.99,12,3.6,5,
Intel Core i9-13900K,499.99,24,3,5.8,Intel UHD Graphics 770
AMD Ryzen 7 7700,260,8,3.6,5.3,Radeon
AMD Ryzen 9 7900X3D,391.48,12,4.4,5.6,Radeon
Intel Core i9-12900K,314.99,16,3.2,5.2,Intel UHD Graphics 770
Intel Core i5-13600KF,254.99,14,3.5,5.1,
AMD Ryzen 5 4500,78,6,3.6,4.1,
AMD Ryzen 9 7950X,549.99,16,4.5,5.7,Radeon
AMD Ryzen 7 3700X,210,8,3.6,4.4,
AMD Ryzen 7 5700G,169.21,8,3.8,4.6,Radeon Vega 8
Intel Core i5-14600KF,279.99,14,3.5,5.3,
AMD Ryzen 5 8500G,179,6,4.1,5,Radeon 740M
